r	 fullpivoting	 partialpivoting	 mimicrypivoting
1.0	1.0	1.0	1.0
2.0	0.6693071782536204	0.04331391099668615	0.8379329989650006
3.0	0.4247751141462058	0.5562469813875132	0.6592327248379217
4.0	0.2825799335301524	0.568958427023541	0.4731378217533709
5.0	0.19031084836184245	0.27199011916714233	0.17559031926553328
6.0	0.16718956402810323	0.17709069286394735	0.1481821987077085
7.0	0.07910106486022118	0.11185440027618819	0.11541279230592151
8.0	0.08053413987082308	0.11332155883109542	0.089694011522808
9.0	0.03782663392838443	0.06347318939727387	0.05347632392679248
10.0	0.0382382120582482	0.03826505912627515	0.01854304488222088
11.0	0.012967024783472671	0.02589288166739374	0.01958804535625008
12.0	0.009379081195516467	0.026211795283687764	0.014337974891118644
13.0	0.009275657020660797	0.02585033382943967	0.010082374982411496
14.0	0.008204382059548945	0.025729788781769063	0.006307566802277334
15.0	0.004261406587071012	0.00984438091613706	0.006208092453096696
16.0	0.0036181097511794403	0.0069919905865982925	0.0032896714045736308
17.0	0.002097721190500021	0.002672302030662358	0.002908579259480338
18.0	0.0011289365372711695	0.0019486249974833877	0.0022482915332958323
19.0	0.0010555347819294523	0.0007143129184921577	0.0014466371638849715
20.0	0.0010026432328224396	0.0006187736053474255	0.001341896043636483
21.0	0.0004503536274793727	0.0004508365143226966	0.001122454150496318
22.0	0.00039430350462723554	0.0004504125277453344	0.000988106971926988
23.0	0.0002892010874360853	0.00045994869792138085	0.0005782191866221517
24.0	0.00026353295201502055	0.0004346047686755095	0.0002855584643592609
25.0	0.00020266434736955396	0.000505911466846515	0.00016055987592587174
26.0	0.00013063919907076375	0.00023656449219828179	0.00017589875845353721
27.0	0.00012050657428931532	0.00018570551752269813	8.672897607749659e-5
28.0	0.00011398052936020288	0.00016516048004520747	5.7025896931143e-5
29.0	8.946254729579426e-5	0.00015880916586823887	5.1562403384638205e-5
30.0	8.236264343306118e-5	0.00014250233780312746	4.109028527651935e-5
31.0	4.369592720175405e-5	5.251273569335397e-5	3.175552130711422e-5
32.0	4.2134955007003295e-5	4.950627625204466e-5	2.1574188414913998e-5
33.0	3.088166249988386e-5	3.762551682333733e-5	2.1842561090290907e-5
34.0	2.7071530197810855e-5	3.56907563404894e-5	2.1160014801536083e-5
35.0	1.6783135461321774e-5	2.7096036523866684e-5	1.4093991908649932e-5
36.0	1.520349204429729e-5	1.781256148183225e-5	1.2008602873190534e-5
37.0	1.2481304103275007e-5	1.787503043810135e-5	1.387454298788784e-5
38.0	1.1055398245055324e-5	1.265627048762377e-5	1.2083173154223648e-5
39.0	7.370250269404953e-6	1.1714608187289598e-5	8.486275332501359e-6
