T_Φ
N	 t_topdown	 t_bottomup	 t_hmat	 s_topdown	 s_bottomup	s_hmat	 lrberr_topdown	 lrberr_bottomup	 lrberr_hmat
12000	15.086656908	9.391290442	12.711554099	0.284399512	0.282430856	0.366675472	0.0007079557485808207	0.0010367360450097714	0.000525259064163449
23520	17.77389728	15.19729728	25.319659266	0.582070288	0.57586696	0.8239274480000001	0.0005447834763079893	0.0008753696649751896	0.00136939868173364
48000	35.165107905	36.044091351	56.71628646	1.154386296	1.137355048	1.850059536	0.000727933990567341	0.0006818425071481826	0.00228021768406589
97470	171.973716736	107.812086033	160.269690878	2.3624902640000003	2.3228353680000002	4.1980132	0.0003984710230514326	0.0009726669176412994	0.0013329528332813553
192000	377.334593688	237.283028376	459.912424099	4.584007112	4.497776496	9.00379792	0.0005148546815663905	0.0010834844113429085	0.0012546409612252537
383070	416.176504677	361.900450308	1174.142039341	8.993053408	8.811396376000001	19.455218744	0.00046940457199350023	0.000657099560589145	0.001594536410588622
768000	1022.481909072	1011.112248768	4900.921638004	17.941498968	17.556570512	42.210495104	0.0005023650014440642	0.0012187515295569605	0.0023783595005730427

T_A
N	 t_topdown	 t_bottomup	 t_hmat	 s_topdown	 s_bottomup	s_hmat	 lrberr_topdown	 lrberr_bottomup	 lrberr_hmat
12000	11.689323799	6.577776012	11.035052377	0.28568118400000003	0.284747256	0.368424016	0.0002900962473754859	0.00024875852947988037	0.0004134425739494603
23520	12.609113732	10.401818579	16.752666492	0.5819805680000001	0.578618336	0.8267578560000001	0.00037455954897895355	0.00026482904688019434	0.000959926876525133
48000	29.655030965	32.340379247	45.754219263	1.150339824	1.13919288	1.8473231920000002	0.00042256410375771813	0.0003589486936799898	0.007537642669612844
97470	55.962416994	59.543566278	113.589054646	2.347486808	2.321605088	4.1762264	0.0003982230615136278	0.00032183834985919713	0.006888941568933121
192000	122.991623493	145.501258382	326.720605362	4.543271608	4.4868073200000005	8.948495008	0.0005355204977089234	0.0003651932934350057	0.00725717326249638
383070	321.598611799	346.622054134	1968.761862782	8.905975296000001	8.783339424000001	19.292379608	0.0004587116235600072	0.00034842260539290137	0.011262893978683861
768000	830.019832429	953.100773446	4464.777898024	17.77871644	17.520361816	41.570302776000005	0.000489792554173994	0.0003655861459802455	0.01810956539683004

