T_Φ
tol	lrberr_topdown	 lrberr_bottomup	lrberr_hmat
0.001	0.0008383278999324338	0.0010148230259566177	0.0008244143819555247
0.0001	0.00010494157916312613	0.00015167771130040846	8.282242068130078e-5
1.0e-5	1.210378568613127e-5	2.3186253931512073e-5	1.0037930794067214e-5
1.0e-6	1.5647987380680552e-6	2.7572727353051133e-6	9.96937271065168e-7
1.0e-7	2.034759372974963e-7	4.279410005449743e-7	9.422614674702739e-8
1.0e-8	2.369068056989257e-8	7.888134350354181e-8	9.7602700135263e-9
1.0e-9	3.0391511247851545e-9	1.1803019484205576e-8	1.0568260640470922e-9

T_A
tol	lrberr_topdown	 lrberr_bottomup	lrberr_hmat
0.001	0.0006406408554096988	0.0005882199670679145	0.0008561290515091616
0.0001	7.038351406309795e-5	7.645002767624515e-5	0.00010602390533266667
1.0e-5	7.721934733788985e-6	9.5985355595584e-6	1.0639413580707829e-5
1.0e-6	9.236352290837809e-7	1.3033836143602081e-6	1.0049459313879159e-6
1.0e-7	1.0327854909051244e-7	1.798845266138415e-7	1.0710776413613998e-7
1.0e-8	1.3651005258455222e-8	2.9395047552455556e-8	1.1551235463424324e-8
1.0e-9	1.932989966631726e-9	6.665641669046052e-9	1.1433805291119365e-9
