r	 fullpivoting	 partialpivoting	 mimicrypivoting
1.0	1.0	1.0	1.0
2.0	0.385906911804757	0.016757592953730253	0.4398459954515275
3.0	0.31928688135445765	0.19811169943580675	0.2109417614381071
4.0	0.1395707276122833	0.15878530324116424	0.18777025739813227
5.0	0.11656787143643257	0.09219289575539664	0.1476011823565052
6.0	0.06574826071948464	0.07230918618346872	0.07422351903079936
7.0	0.03908634903319191	0.05101759252676369	0.0365713261437907
8.0	0.016712527228568596	0.01913494466352609	0.020685365090790525
9.0	0.013982538571239222	0.0094867937147717	0.011704765867932808
10.0	0.005376150881008272	0.006762780085803932	0.009973784454598768
11.0	0.004888049927317617	0.006729366862994742	0.007055679236912407
12.0	0.004294854492461368	0.004696498831459127	0.0066263563655938554
13.0	0.004596026976513262	0.0043030223191270435	0.007219812575836049
14.0	0.0022592814468711986	0.003951228619864695	0.004950025210519025
15.0	0.0012408185449272874	0.0031790719295314252	0.0017523599909869138
16.0	0.0011835570077209216	0.0009274469488784206	0.0011232617737897425
17.0	0.0005355769256058232	0.0009022393502085629	0.0012098989934907895
18.0	0.0005241267534172867	0.0008370004644719848	0.0012119149108847423
19.0	0.0005563666035370217	0.0004828611358154787	0.0007941557166293402
20.0	0.0004311729528301264	0.0003692184516902061	0.0005228158060206214
21.0	0.00020446270963345877	0.00029586849654519707	0.00036915934596742087
22.0	0.00015365915875469786	0.00030370461125377233	0.0003381196254952327
23.0	0.0001480387208317845	0.00018877725299700133	0.0003480216302527448
24.0	0.00012784775139507767	0.00014256741261218356	0.0003036786295996449
25.0	9.702853740317626e-5	0.0001318789052353235	0.00013989839664687697
26.0	8.098442212962498e-5	0.00014090997661215894	0.00010035699397147196
27.0	6.907824544310804e-5	0.00012437298456453258	8.55271010514399e-5
28.0	5.067155717042126e-5	4.955124679685423e-5	5.5008211655175604e-5
29.0	2.7881212998137963e-5	3.6426980981264516e-5	4.7460318495597845e-5
30.0	2.5167873056068502e-5	2.6551140217416122e-5	3.6596651764035205e-5
31.0	1.450373045467303e-5	2.168829794840478e-5	2.6885499396451185e-5
32.0	1.3877289970982977e-5	2.196044935606441e-5	2.5761546498784705e-5
33.0	1.081968702607787e-5	2.3132417194546685e-5	2.1550249199128084e-5
34.0	9.602708709534984e-6	1.2776839636093704e-5	2.9869835015033506e-5
35.0	6.973223122546713e-6	1.2163151237889225e-5	1.566491728032655e-5
36.0	6.387415032822675e-6	1.2225128201718397e-5	7.80819991470929e-6
37.0	5.10255574947854e-6	8.561366810280309e-6	5.96260193882293e-6
38.0	4.692133300452331e-6	6.811885784766945e-6	4.9951364290982064e-6
39.0	4.297082396964741e-6	4.678480663205571e-6	4.800757966286053e-6
40.0	3.8060675345848585e-6	3.8128800800783375e-6	3.7080509703695185e-6
41.0	3.1203586992135895e-6	3.574104429185499e-6	2.9607221399727837e-6
42.0	2.793071301470047e-6	2.881938578399307e-6	2.7669468135717536e-6
43.0	2.776869363841474e-6	2.5415130917120365e-6	2.1790830084492584e-6
44.0	2.3548702231433847e-6	2.489459681356845e-6	2.187380396290718e-6
45.0	1.405936273414183e-6	2.474160470012772e-6	2.030767838213437e-6
46.0	1.2003265967559698e-6	2.551934238283469e-6	2.1839190530366777e-6
47.0	1.1436102133360923e-6	1.796648493534998e-6	1.473420324019637e-6
48.0	8.493408839925538e-7	1.7460262605629714e-6	1.1520226850648458e-6
49.0	8.466042271965704e-7	1.2967016433855285e-6	9.515691691276122e-7
50.0	8.024597684844034e-7	8.473823433229208e-7	1.2656603099693167e-6
51.0	6.89439221241274e-7	8.023153064265089e-7	9.115289033997492e-7
52.0	6.232000426993241e-7	7.773774839519903e-7	8.641980946797653e-7
53.0	5.833606038616553e-7	7.630475975119428e-7	8.399510228348765e-7
54.0	3.9447458964266225e-7	6.279908723476732e-7	6.995434910064308e-7
55.0	3.7850885953124875e-7	3.8542388626472483e-7	6.449171038256235e-7
56.0	2.876359772721949e-7	3.561771025489229e-7	5.333334474536588e-7
57.0	2.2768911145026233e-7	3.2357686749440276e-7	3.538237993189731e-7
58.0	1.9631328037997551e-7	2.842200824208121e-7	3.5551620755656343e-7
59.0	1.5101575930326694e-7	3.125673074742647e-7	2.3884250517997705e-7
60.0	1.445671610602159e-7	2.241812723002507e-7	2.0720427469971443e-7
61.0	1.3394319621677248e-7	2.287714572131353e-7	1.9369427520740643e-7
62.0	1.001788143647897e-7	2.210772369865765e-7	1.9571877653341406e-7
63.0	8.240896131495776e-8	1.8753027423868271e-7	1.5270084683134916e-7
64.0	7.635418850472678e-8	1.3449813427227633e-7	1.5937416681790507e-7
65.0	6.163018422688884e-8	1.287863800811399e-7	1.3079512075655129e-7
66.0	6.173970074235404e-8	1.2732561651499015e-7	1.0773876609078663e-7
67.0	5.55785710995284e-8	1.3380896717624169e-7	9.377535187519791e-8
68.0	5.121779992959175e-8	8.584106186554885e-8	9.18649969610878e-8
69.0	5.173965400545201e-8	7.17337609337299e-8	7.118934780286307e-8
70.0	5.5184487322766344e-8	6.810598709800671e-8	8.075727649006687e-8
71.0	4.108970935368135e-8	6.281022768774919e-8	8.142390942779397e-8
72.0	3.821474551610932e-8	6.485106263475364e-8	7.727596412890156e-8
73.0	3.9862585273548405e-8	5.4324164050543055e-8	6.487039712753644e-8
